worker_id,task_id,task_response_id,is_reviewed,review_score,tweet_id,text,username,bio
Z6J69GNZYEXY,136adc93-e39f-4cc1-b2b5-6d751824e7b4,026288a2-c4bb-4372-880d-023321d8cd92,FALSE,,1.54E+18,"@Devmag52 @EricDJuly Its like if there are meds for a certain patient and a drug addict is addicted to those meds,… https://t.co/fX5PXOiuG8",D_ndamagi,"F**k fighting fire with fire, where's the damn water?
2021"
4TG67HVWJNDP,909fc038-d4fd-45f0-b849-d975760f163d,02dcb39a-c525-418a-9198-5c08d354935a,FALSE,,1.54E+18,"It getting pregnant endangers your life......

THEN STOP GETTING PREGNANT DUMBASS.

Why should the baby die because… https://t.co/Q3Uddrh8tq",AChristhope,"Humankind is neither humane nor kind. Creator of EGO FOOTPRINT /INHUMANE HUMAN EVOLUTION THEORIES as well as a published writer, poet, & Co-creator of Anonymous"
2AZWNZRTVACE,0dcd0bda-127d-4b57-a479-08efc85fb902,031abcc4-deb2-42b2-8b36-979f77d006c6,FALSE,,1.54E+18,"@bluekat323 @leighmatsell @caambers @Robthefrosty @Sparkle31888597 The ""domestic terrorism"" is happening RIGHT NOW… https://t.co/THft1peY8s",LegalLatino2022,"Left January 2021. Starting anew. Love all animals, but especially cats. 
DARK ULTRA GREAT MAGA KING GANG!
Guns SAVE lives. #BlackGunsMatter"
X6P6DQRXD62A,a42881d0-a01a-4c7c-acfa-9d21434b59b0,03d7bc4f-4fd0-4658-bf0f-3151150d6d41,FALSE,,1.54E+18,The overturning of Roe was not an attack on women. It returned decision-making to the people and their elected repr… https://t.co/qJJ6CfIxWi,parlermaid,
73FP3QEHRD7V,7d9790e2-d115-49cb-998f-7b70d59abd7a,04816883-6f94-4425-a8da-d83be3027f2a,FALSE,,1.54E+18,Disney was nothing but a Façade.  We’re seeing their true selves.  They stand against parents rights and now stand… https://t.co/N3V8F1PR8N,CDelFico,My edit bottom has snapped in half. 🇺🇸
DPNAMHPJRREC,291d5d5e-b008-4794-aa22-44538bfffaa7,049bb75c-96ad-44d6-b42f-1d156d7d9ec8,FALSE,,1.54E+18,@DarkNookShop @Cubs_Michael @GoodManOnceSaid @DonaldJTrumpJr Let us also talk about the majority. Those that run aw… https://t.co/flrSyp7Ub2,bankiemag,
DK4H9CMZRWET,681270e5-0599-42fe-a472-683e9a28406c,04abaa4d-8813-4509-9e8c-b58dd5a690c3,FALSE,,1.54E+18,"@ErrolWebber No but i can name 10 or more where abortion is not legal starting with Poland, Germany, Portugal etc 🙃",BeTheRichChris,Dad | Wedding Photographer | Truth Fighter 🇺🇸 | Truth Social: trumpsmexicanamigo
7ZGW996YFZ6X,fdc9dbec-6f29-4573-a5d6-95138ae53bea,050d13a8-61e7-41dc-9486-d4734b81a036,FALSE,,1.54E+18,"Trust God, President Joe Biden, trust Abba! The judges that voted to overturn Roe vs Wade, were obeying the voice o… https://t.co/9ArHovcy7f",CjleighDr,I Am an Ambassador for Jesus Christ
Z6J69GNZYEXY,4ba6a1bb-dad0-43ff-8153-426722acb065,057765ec-d41e-42d7-bd3e-c1fcecccc3cf,FALSE,,1.54E+18,34 yrs ago my wife had cancer in womb and uterus she was pregnant doctor suggested abortion so he could operate to… https://t.co/9QninfZMLt,head10_head,"66 male conservative. Grampa family,country not looking for companion              don't pm.maga proud here Jesus is needed ifbap"
FPMCK2P37RW2,4136ef7c-3664-4f3a-8ea0-5ea834a8695e,058ea01e-6bea-46f9-928a-aa85dadb75ec,FALSE,,1.54E+18,@FoxNews Roe v wade was unconstitutional and should have never been in place to begin with.,demsaredolts,"Fuck democrats, their anti-American policies are bad for our country"
FPMCK2P37RW2,4cb0ec76-214f-4477-891d-cdbb27cb0e38,05d9fa0b-e41c-4afd-a816-96170fc75a83,FALSE,,1.54E+18,@esmemurphy @drscottjensen @GovTimWalz Here’s the thing abortion rights is a man-made thought up movement while God… https://t.co/6QhLUM53zF,Silent_Majo,"100% American. Constitutionalist Common sense applies. Veteran, Supports the already pre-existing laws of the land. #ULTRAMAGA follower."
7R2NKCJQNXPP,7e6cc8de-429d-4cd5-8082-82150ea22701,07216ca1-9f0a-4e13-a7b5-bdc1e15b42f7,FALSE,,1.54E+18,@RepValDemings How did you become a mother and grandmother seeing you are all for abortion ?,ChaWheelman,
FPMCK2P37RW2,cd3ed133-44b5-4373-8602-6a9ad640d698,079c4669-9cdc-4d6f-8fb1-1f31a07e846a,FALSE,,1.54E+18,@JessicaCoblentz Abortion kills twice. It kills the body of the baby and it kills the conscience of the mother. Abo… https://t.co/zZdVahGE3I,JAROSLAWBOLBOT1,This world needs a heck of a lot more common sense. Especially Common Sense Catholicism. https://t.co/9XdaOhhC5U
R7XYZ4FKMFF9,7efca394-4ce2-40fe-8299-1972cf20c336,0994b00f-4c24-4a29-a0fb-644c0f9e6122,FALSE,,1.54E+18,"fb friend went off on me when the draft leaked for suggesting ""pro choice"" people were way more ready to help peopl… https://t.co/g8cxGUDizO",JQAForPresident,"Ex-Anglican Roman Catholic still convinced the best liturgical alternative to the vernacular is not Latin, but Church Slavonic."
7R2NKCJQNXPP,520ce054-cb46-4463-b18e-70ae19aeb97b,0a3a198e-5db1-4106-b3a0-42645aad7b40,FALSE,,1.54E+18,@BNNBreaking This push wanting to keep abortion says more about what they are not saying now,usher_206,
FPMCK2P37RW2,113854a7-52d1-42d8-a263-023401e4d192,0b46ce95-5696-4af9-9eca-288808af3d9f,FALSE,,1.54E+18,@RHeadland @emreistvergeben @nunnas22 @GovTimWalz The Supreme Court simply stated that the 73 decision was wrong. A… https://t.co/oxRCakL6vo,brianMurle,retired Firefighter…my pronouns are decided by the genitalia I was born with like every other person. my adjective is alpha
RP7MDHXYNRPN,3e2b5653-5a24-4ca2-872a-8938554bffa9,0be6f6cd-1a5e-461b-a449-87cfcad65e59,FALSE,,1.54E+18,@SarahTheWoodDuk @DeeMarie308 @ibangel This is so rare!  But in those cases that is a true medical emergency!  Quit… https://t.co/DCONWRFAbG,MUSICBYARRIVAL,
VNAQPVX4R36A,9f12d302-99c1-4ad5-8e65-188f40860b9e,0c3ab943-c44b-49b8-9478-0ee74b77185f,FALSE,,1.54E+18,"All the men and women upset and hyperventilating about the end of roe v Wade should seek asylum in Canada, Mexico o… https://t.co/mEsyAvRwXb",UtahSnyder,"#Ch_JesusChrist, Married, Father, Navy Veteran, #Education, History Enthusiast. Working on being a better digital citizen. It's not going well. 🤷‍♂️"
XKEQPPFJWHY9,eef8df49-37d5-456a-8c2b-5fff6c92c80d,0cfeece0-c288-42fd-ac73-36f435d6cd0c,FALSE,,1.54E+18,@JohnCleese the separation of church and state has nothing to do with the fact that the right to an abortion isn't in the constitution,jer2911tx,"Dr Pepper, bacon, & vodka are my friends. i love Jesus, but i drink a little. Aggie, vet, Dallas patent attorney, and Oxford comma fan. BS, MS, JD"
4TG67HVWJNDP,44274135-4a15-463a-8875-d445a4ea9df4,0d0296da-a40c-435f-9e53-8543864af5d6,FALSE,,1.54E+18,@tdzarnick @GeneralBrnovich And keeping Roe v Wade will result in more fetal deaths. So I’m ok with it being overtu… https://t.co/01WzEgNaC9,tinbullet,I came here to see if Twitter can make me less sarcastic. Doubt it
C69D7VD39FKM,ec0949b0-895e-4ce0-8e48-c39d3ba2439a,0f00ac81-8c09-4e01-b0ac-75b4411c7b39,FALSE,,1.54E+18,Welcome to equality women where just like a man you can not leave or desert the child with consent from the other p… https://t.co/d7CDclV9Hw,VanillaTwigXXL,"You have to believe in order to succeed 
Snapchat: VanillatwigXXL"
VNAQPVX4R36A,ccd76a97-3e49-4b32-8e0e-a5f0d432fe1f,0f082b07-f61d-4d22-926f-1686f580f514,FALSE,,1.54E+18,OMG as if the LBGTQXyzabcdsd  can’t spew enough BS already there new mantra now since Roe V Wade was turned back ri… https://t.co/cbzJNOzesy,bethbur97689252,"Lover of Liberty, and Justice , Auburn Football, and  cutting through all the BS 🇺🇸"
VPA49GVE9GAV,6a7460c3-a7ef-48ff-9c00-3900b2d4cb0a,0f23e799-182d-40a0-92ce-35c857e9b46b,FALSE,,1.54E+18,@jitobear @ambercb7 @BigRonJohnston @drebelo5 @KristianKWalker @777jorgeivan I’ll accept whatever consequences I’ll… https://t.co/AvXxMS6eLi,im_autism,#ForTheA #WarEagle #WeAllBleedBlue
73FP3QEHRD7V,031eb53e-08a3-4e6b-80e4-9c4ac04f3482,0fa52414-71b5-4cb9-9fce-3cd37c4b250d,FALSE,,1.54E+18,Kamala Harris On SCOTUS Abortion Ruling: “This Is Not Over”; Fox News &amp; Broadcast Nets Don’t Cover Remarks From Fir… https://t.co/uIcISmP1fg,WhoCares7734,"The Truth, the whole Truth and nothing but the Truth. Clear Logic. Every word must have a meaning. Equal means equal. Revisionists and Cancel Culture are Lies!"
2AZWNZRTVACE,57c42c4f-125b-4eef-9646-6c0418073413,11dc6f56-1682-498f-a612-0d9bd58c822b,FALSE,,1.54E+18,@CatherineCRine1 This is a 100% true statement.   The final stages of a society is child sacrifice and abortion is… https://t.co/BwCxdmJ7I1,chastjones1,
AMXMPYF9CYAJ,7b791414-8405-4aa4-b206-7152bcfafe04,11fd7c14-8479-4126-a370-ce6e775498d5,FALSE,,1.54E+18,"@DiamondandSilk The abortion is a epidemic disease and if we read what Margaret Sanger, their objectives are clear. And a lot of shame",MasiaTarazona,Quiero aprender mucho
T3RMAEPRMD6J,a0ace480-a12e-4f2f-a040-bd16dd74108d,120a2c62-2818-4da7-a2a7-d03df153a79f,FALSE,,1.54E+18,@alchemyjoe @marwilliamson The TRUTH- most men refuse to believe that a lot of women enjoy sexual experiences just… https://t.co/L5kf6UgKEH,gayle_reuben,
